apotheke,apotheke_plz,apotheke_stadt,name,bezeichnung,genetik,thc,cbd,preis_pro_gramm,verfuegbarkeit,produkt_url
Cannabis Taxi,73730,Esslingen,La Sage,Nimbus easy 30/1,Hybrid Sativa Dominant,30%,<1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/nimbus_easy_30_1-la_sage?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Super Lemon Haze,30/1 Amici SLH,Hybrid Sativa Dominant,30%,1%,"6,95 €/g",NEU,https://greenmedical.health/de/cannabis/flower/30_1_amici_slh-super_lemon_haze?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Gary Payton x Gushers,Drapalin 31/1 Da Fux,Hybrid Indica Dominant,31%,1%,"5,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/drapalin_31_1_da_fux-gary_payton_x_gushers?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Glueberry OG,Wildlife 24 GB CAN,Hybrid,24%,1%,"4,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/wildlife_24_gb_can-glueberry_og?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Khanya Select,Cannabis flos 24/1 LS Ku.,Hybrid,24%,1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/canify_cannabis_flos_24_1_ls_ku_-khanya_select?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Permanent Marker,Greenseal 24/1 PMM,Hybrid Indica Dominant,24%,1%,"4,25 €/g",NEU,https://greenmedical.health/de/cannabis/flower/greenseal_24_1_pmm-permanent_marker?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Snow Lotus,LIT 31/1 SNW,Hybrid Sativa Dominant,31%,1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/lit_31_1_snw-snow_lotus?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Ultra Sour,Cannabis flos 22/1 CZE Ku.,Hybrid Sativa Dominant,22%,1%,"5,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/cannabis_flos_22_1_cze_ku_-ultra_sour?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Mochi,Cannabis flos 22/1 CZE Ku. Mochi,Hybrid,22%,1%,"5,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/cannabis_flos_22_1_cze_ku_mochi-mochi?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Sugar Dream,Medical Saints 30/1 SRD,Hybrid,30%,1%,"5,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/medical_saints_30_1_srd-sugar_dream?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
